59J2,BBG00L991L24
8618,BBG0091JV324
24ZJ,BBG006D49JP5
349E,BBG00GTKTQT8
Y972,BBG000NTHW01
5272,BBG004F03475
178U,BBG0000029P9
8472,BBG013JRM8G3
810F,BBG000F8SGK7
9128,BBG000DKQJM6
3928,BBG00SVD38Y7
EC22,BBG000056Z49
5G05,BBG00WGK3QP9
82CA,BBG00W907JT9
9128,BBG0083X6DW6
1594,BBG005ZNDXR3
8096,BBG0000FF0P1
1360,BBG006L5BXT5
860W,BBG00HTM5ZC6
7557,BBG00873J720
Y4S1,BBG00FZFBGZ8
0512,BBG00DGNTX63
133E,BBG00WYXYHZ6
9035,BBG0058YG0B5
G718,BBG0000235L6
9062,BBG000C17X76
1258,BBG002Q8RLD9
1306,BBG013YT8ZC2
4825,BBG00883HCB0
0130,BBG00B3L9HP1
EP01,BBG0000080X3
441K,BBG000K2VVY2
2859,BBG00HTD5WQ8
8013,BBG009BJWL86
94N1,BBG000BFMV00
6751,BBG004X06VL6
5289,BBG00NNJC204
4218,BBG003NVNBB7
V914,BBG00BM5NT37
2925,BBG00F9ZFH69
1402,BBG000BJ94K5
BN02,BBG00YHJ2SK9
682C,BBG013KL59T7
3213,BBG00PKC7RS8
3027,BBG00003YH25
7958,BBG00889DMW6
534B,BBG000002XX7
9128,BBG00RR4X390
6428,BBG007KH9FB9
608Q,BBG0000033N3
1282,BBG00KL6VMR6
531A,BBG000R7HVC4
6903,BBG005P46BB9
759M,BBG008R3BR40
9281,BBG00LFLZDN8
2698,BBG00KN33DD7
128A,BBG008S5PS65
0385,BBG00009TFC1
13Q2,BBG00Q79NZQ4
8343,BBG000008DD7
867A,BBG008B4WT20
ZO52,BBG00XDVQ5M0
4789,BBG00JF60962
353Y,BBG005P46BB9
2546,BBG000BC3R07
1282,BBG00RJVTR55
239Q,BBG00HT4N1Q6
EK61,BBG007KGQ196
JV53,BBG00BTJRWR3
48W2,BBG00DGZCB44
620D,BBG00KK7SM80
8253,BBG00ZSMZKH2
9274,BBG000002K65
005H,BBG006NV8450
2828,BBG00N1Y3J80
5900,BBG0113RZ193
8307,BBG00002S307
8034,BBG00VJHXFZ5
8668,BBG00HDL6G81
EJ67,BBG004KB58P4
P2R5,BBG00K62QTZ4
2815,BBG005P8DJ34
0162,BBG00CW5B405
488D,BBG017RQ9K48
7156,BBG00MNPNZL4
089K,BBG003HDXGD0
A697,BBG000BRQW35
J137,BBG000DYR2J6
0583,BBG00R0WHBB4
4240,BBG00388V2N3
355D,BBG009HT8JM4
EJ74,BBG004T4T9K8
367L,BBG00LTR64K5
9001,BBG004F24746
0385,BBG00QGFJ368
4933,BBG0038P3DM3
57R1,BBG000W2DV24
11P2,BBG00KW5V9Y7
Q466,BBG00QS2R3P4
42Q3,BBG00W1P7WM0
K819,BBG00CP7Q1D5
134G,BBG00XYHMQK8
M687,BBG00742LNX5
W912,BBG000BQR4K9
P053,BBG00HVK97N3
6682,BBG00XMLDPM2
24LA,BBG0000025B2
P564,BBG00RFBQTL4
0485,BBG008KT24X9
8431,BBG001P1Z4F4
BP82,BBG01186PYY5
1517,BBG0179JT527
1940,BBG0032LW1J6
6116,BBG00004D1J3
7031,BBG00JQ4QWP5
EJ34,BBG003BMV6D0
H045,BBG00NRVXYS0
BP15,BBG0105VN7L0
698E,BBG00J1YFGW5
6682,BBG00HSH3TD3
EK77,BBG00873J7G5
1097,BBG00PF33837
441T,BBG00F137FX1
AO12,BBG00H1HMQF5
409B,BBG00636HD75
7080,BBG00QDGGC26
EP05,BBG00X65JBB2
6918,BBG00NQLKGJ6
47W2,BBG000GF0VX3
5509,BBG01135ZXM6
G290,BBG00XGCHFV7
9522,BBG00L2WNJ94
Y673,BBG00MRX5KT8
6943,BBG007WV9ZR4
6650,BBG0116S8JN3
45V1,BBG000C34T83
P416,BBG00HW3SQS2
908J,BBG00K55W6X3
Y182,BBG001V4BBP0
912K,BBG00PKG3QR6
4554,BBG001LPGQV9
7160,BBG006L70F03
4308,BBG000001RB5
70K1,BBG000BDGZ58
4195,BBG00GLY3X19
7609,BBG003ML4TZ6
4362,BBG00ZV8Y9D9
Z169,BBG00PG4NGJ7
80CR,BBG003MJ9CP4
9037,BBG00FMFKCH1
9747,BBG00XZYRM24
68B2,BBG00LZBSST7
8901,BBG0138BGQH6
9347,BBG001CKYQF8
BM29,BBG00Y3DNN61
2620,BBG00JBB3GN7
282C,BBG00Z0G40P4
H449,BBG00SXFKJX8
3270,BBG00HTQSR49
908G,BBG003CYDPH7
7557,BBG00873J720
2811,BBG00D0PNXQ9
153B,BBG00XV47NQ8
1407,BBG000008232
3ELE,BBG00V3MTMB7
N123,BBG00GD3MRP2
9127,BBG011VCVSX3
EP05,BBG00NQ65DH5
8292,BBG00JC9WPS4
K153,BBG00C7SNBD0
BM72,BBG00YB6XP61
6496,BBG00HXJPBG5
6194,BBG00GQ5P710
828X,BBG009LR01F8
6858,BBG000007Q76
35G0,BBG00JSC0B33
6513,BBG00002CRC8
0392,BBG0000012W7
1404,BBG00HBG4839
6261,BBG000BM65S0
5775,BBG00MH64JS3
7434,BBG00MP458T1
238M,BBG00LFM4WY6
670K,BBG000BDGZ58
O841,BBG00HJ55DT5
238M,BBG00LFM4WY6
5065,BBG00YVKNCZ6
0558,BBG00ZSDX8Q1
1744,BBG00B44LPW8
8210,BBG0000086Z8
I405,BBG00161YP50
Q733,BBG00JQBR0C2
866G,BBG00DBP45K5
1282,BBG00KL6VMR6
64V5,BBG00K96FCH1
4103,BBG00HG0W7D9
887C,BBG000Q03WB4
3751,BBG00ZLKV018
349E,BBG00K4XJ0Z9
K433,BBG00VYHH7Y5
H287,BBG00NRVY192
9250,BBG00F9ZFH69
Y223,BBG000HCLBQ8
AW61,BBG00N12TWN6
6048,BBG00HXJPBG5
7611,BBG00004D1L0
K423,BBG006XT8T40
P474,BBG010Z6LKB6
3015,BBG00007RLJ7
0981,BBG011FJ8XG0
QZ01,BBG00DGPLZZ9
342Q,BBG0181799X9
LW02,BBG00CV0KVJ7
1280,BBG000F05RT6
6247,BBG000BMC5R4
938C,BBG00K8H3T48
EK36,BBG006R40W89
4899,BBG00HXWZ2R3
O997,BBG00ZY0QS77
P011,BBG000007QK1
2045,BBG00K88CZC5
AU55,BBG00M0C8QF2
4521,BBG0015DFSV1
4686,BBG0000095G0
5903,BBG00T677SR6
62V6,BBG0169CP733
H015,BBG00002CV48
8323,BBG00002JY36
AW82,BBG00N55J4M9
88L2,BBG000007YL3
N519,BBG00GNRD5Z5
Y304,BBG007RBV5F8
2690,BBG004Q17FB7
6955,BBG00CMQXVY9
P606,BBG00RHGM010
0875,BBG00F5P6QX5
Q919,BBG0122KPBN0
138C,BBG000008SY1
80W1,BBG000C3FV31
2549,BBG00X3GLRB3
9738,BBG00PQCMJW8
385L,BBG001812236
8234,BBG00K4XJ0Z9
7163,BBG00GM5FK34
8707,BBG00RMPZZS4
796L,BBG012BD9XD7
2208,BBG00VTDWR60
1148,BBG000008TC3
EH69,BBG0000JFTH9
BR74,BBG012SNTS82
49CW,BBG00FVP0BR2
EJ71,BBG004P7SRZ0
GG72,BBG00004K5J6
4327,BBG00VYCN6G1
4951,BBG000QF3J02
5601,BBG007DGHW50
6895,BBG000094PY2
3EMF,BBG00XZYD7R5
3385,BBG00YJKXVN0
4787,BBG0085XP5Y8
9591,BBG00K6645K7
7342,BBG00RN5M507
0817,BBG016JG5245
K585,BBG007GWJ274
X646,BBG00NKXXQX4
1911,BBG015QRHFZ9
J051,BBG00TDHX5Q8
K640,BBG007NRFRJ3
814Z,BBG0000DJTR7
8156,BBG00JVRMBW0
4724,BBG00N6TJMQ2
297D,BBG001DL7JC4
6101,BBG000BP94Q5
ZR01,BBG00PXMFSF5
I939,BBG002D11ZV5
846G,BBG00RPJ8N48
Z598,BBG00PNYFB30
AR02,BBG00JXGPT05
J838,BBG00V7Q2BZ1
ZQ57,BBG00QTW7N75
9128,BBG0159JPPF7
5386,BBG00HPSGKX5
K955,BBG009BTJNZ5
72J1,BBG000PXX5G4
234H,BBG00006X419
BP91,BBG0119C85W5
2620,BBG00P7VX3S5
Z358,BBG00DQ4SJV8
630C,BBG00G26NS74
8128,BBG0185F0PV2
5377,BBG00RCY3WT7
0002,BBG003S9CJL5
Z131,BBG00PF8ZQL1
ZO24,BBG00X26Q9M9
0198,BBG00MKDYNN7
BN29,BBG00YRDSKN7
0558,BBG00P2HLX80
9001,BBG00FS05036
R776,BBG00KB719Z8
J628,BBG004F1PGF3
0442,BBG004H0F4C4
8805,BBG0000483G8
I529,BBG001CX88S5
614U,BBG000BW8VJ9
9585,BBG00JNGF5V5
4673,BBG00NRVY0F7
BR28,BBG012CRNZS8
0445,BBG002PXX5T6
460W,BBG00DBB5W26
5000,BBG004T9FBB7
35BP,BBG00FHS5992
673L,BBG00NRVY0F7
0002,BBG003S9CJL5
2803,BBG000DJPHQ0
JK10,BBG00C7M15C1
0350,BBG00XY5CB55
051A,BBG00JNJNQK6
66A2,BBG00LYNGR08
BN74,BBG00Z1G0317
97N5,BBG0184H4852
2484,BBG004246MN0
5368,BBG005Z1Z6H7
2157,BBG0000GVCQ4
D634,BBG00007S4G7
3361,BBG00C5BN9K6
3854,BBG00009TFC1
01S1,BBG000BP6FC8
4649,BBG00RCZP895
ED03,BBG00007X195
6122,BBG000005MQ6
0931,BBG01259VZ98
EC19,BBG000014B07
M297,BBG00Y3DNN61
0806,BBG00QDGGC26
3EEU,BBG0089CKRY7
4582,BBG00519XFP0
5288,BBG00HK0X3B4
411A,BBG0000074X6
8463,BBG000FS2Q74
ZS79,BBG00P7VWBV4
1282,BBG00QB2C5B8
6428,BBG00KXR3LF3
EJ71,BBG004P7SRZ0
2515,BBG00HK0X280
9336,BBG000BDJBQ5
1282,BBG016Z970Z1
3827,BBG000005X19
9297,BBG008VTRHR8
135G,BBG00WGK3QP9
0148,BBG0000085X2
5671,BBG006G063F9
4725,BBG000052DJ6
11Q1,BBG000HV4JZ8
1676,BBG00003GX48
EG66,BBG00000KKB9
5087,BBG00005FML9
Y444,BBG00JMZYD73
ZS07,BBG00NTKMTZ7
9673,BBG00C5YVYH6
1290,BBG0017FX009
4415,BBG00KW5VPW3
5856,BBG007GWJ274
8597,BBG014FQBL25
01R7,BBG004PZVBS7
AW94,BBG00N6TDJ21
4587,BBG00BGSTMK4
353Y,BBG005M448N8
8273,BBG006MGS3Y2
29P1,BBG00L3DT2Z7
966E,BBG0074QKZN7
S219,BBG00HVQ6WS3
4103,BBG00F0GJH93
0465,BBG006Q0HCX6
422B,BBG00069Y8M4
46G1,BBG00ZGXFWJ5
803B,BBG000F3M305
595B,BBG00KP8DXF7
9042,BBG00369P866
3951,BBG000D4PV37
4846,BBG00RPJ8N48
8181,BBG00D7H5S36
BQ13,BBG011HTBQ68
3130,BBG00WPNG7S8
408D,BBG00H2D2QW6
6026,BBG00L4PF9T6
5647,BBG00RFBQTL4
U654,BBG00M31QX59
501R,BBG001KJKBC3
1546,BBG00CCP0450
33EL,BBG00V3MTMB7
P897,BBG0119751F7
026H,BBG006BRGXZ6
5162,BBG00TDHX5Q8
2810,BBG002N4YNX7
BR81,BBG012V391H3
AT45,BBG00LC55BC5
8056,BBG010R07XZ0
2810,BBG00QQDDTN2
AN71,BBG00GSFT7J3
087N,BBG0161CL4M1
8299,BBG00009FT18
4663,BBG0042YKVP6
7572,BBG000008WG2
28B6,BBG00M0GF179
304B,BBG000GW62V6
0490,BBG009LCRY60
2346,BBG00V3MLYQ3
2391,BBG00SRBJP62
826T,BBG000006C78
